question_id,question,option_a,option_b,option_c,option_d,correct_answer,domain,topic,difficulty_level,difficulty_band
DA_0543,What happens to hidden rows when you filter data?,They are deleted,They are moved to another sheet,They are hidden but data is preserved,They turn red,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0544,Sorting numbers in Largest to Smallest is called:,Ascending,Descending,Alphabetical,Numerical,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0545,Which Excel feature removes duplicate rows from a dataset?,Filter,Sort,Remove Duplicates (Data tab),Conditional Format,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0546,A UNIQUE() function in Excel returns:,Count of unique values,List of unique values from a range,TRUE/FALSE for uniqueness,Error,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0547,Which Excel tool creates a dropdown to filter column data?,Data Validation,AutoFilter,Slicer,Pivot Table,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0548,"When you apply a filter, row numbers of filtered rows:",Change,Remain the same,Turn blue,Are renumbered,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0549,Sort by custom list in Excel allows:,Sorting by color,"Sorting in user-defined order (e.g., Mon, Tue, Wed)",Sorting by formula,Sorting by row,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0550,What does SORT() function return in Excel 365?,A sorted copy of the range,Sort options menu,Sorted chart,Sorted count,A,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0551,Slicers in Excel are used to:,Cut worksheet,Visually filter Pivot Table or Table data,Sort data,Merge cells,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0552,Which of the following is NOT a valid filter type in Excel AutoFilter?,Text Filters,Number Filters,Formula Filters,Date Filters,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0553,"After filtering, =SUBTOTAL(9, A1:A100) computes:",Sum of all values,Sum of only visible filtered values,Count of cells,Average,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0554,What is a Pivot Table in Excel?,A table of formulas,An interactive summary table for analyzing data,A chart type,A sorting tool,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0555,Which tab in Excel contains the Pivot Table option?,Home,Data,Insert,View,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0556,"In a Pivot Table, the 'Values' area typically displays:",Category names,"Aggregated numbers (sum, count, average)",Filter options,Row labels,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0557,The 'Rows' area in a Pivot Table determines:,Column headers,What appears as row labels,The summary calculation,The source data,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0558,The 'Columns' area in a Pivot Table determines:,Row labels,Column headers of the cross-tabulation,Values to sum,Filters,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0559,How do you refresh a Pivot Table when source data changes?,Delete and recreate,Right-click > Refresh,Press F5,Ctrl+Alt+R,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0560,Which feature allows you to group dates in a Pivot Table by month or year?,AutoFilter,Group field option,VLOOKUP,Slicers,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0561,A slicer connected to a Pivot Table allows you to:,Edit source data,Interactively filter the Pivot Table,Add calculated fields,Sort the Pivot Table,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0562,A Calculated Field in a Pivot Table:,References external data,Creates a new field using a formula based on existing fields,Sorts data,Groups data,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0563,Which Pivot Table value function counts unique items?,Count,Distinct Count,Unique,CountA,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0564,Pivot Charts are linked to:,Raw data directly,A Pivot Table,An Excel table,A named range,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0565,What does 'Show Values As' in a Pivot Table allow?,Sort order changes,"Display values as % of total, running total, etc.",Formula references,Formatting only,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0566,How do you add a field to the Rows area of a Pivot Table?,Drag field to Rows area in the field list,Type in cell,Use VLOOKUP,Write a formula,A,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0567,What is a Grand Total row in a Pivot Table?,The first row of data,The last row showing total of all values,The row with headers,An error row,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0568,Which of the following is NOT an aggregation option in Pivot Table Values?,SUM,AVERAGE,VLOOKUP,COUNT,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0569,Pivot Table source data should have:,Merged cells,No headers,Headers in first row and no blank columns,Multiple header rows,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0570,What does 'Expand/Collapse' in a Pivot Table do?,Filters data,Shows or hides sub-level detail for grouped rows,Sorts rows,Removes fields,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0571,Which Excel feature allows multiple Pivot Tables to share one set of slicers?,Report Connections,Named Ranges,Linked Tables,Data Validation,A,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0572,Conditional formatting applied to a Pivot Table:,Cannot be done,Can highlight values based on rules like data bars or color scales,Is permanent,Only works on text,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0573,What is the main benefit of using Pivot Tables for data analysis?,They run Python code,"They allow fast, flexible summarization of large datasets without formulas",They create 3D charts,They replace VLOOKUP,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0575,Which statistical measure represents the most frequently occurring value?,Mean,Median,Mode,Range,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0576,"If a product costs ₹500 and receives a 10% discount, what is the discount amount?",₹25,₹50,₹75,₹100,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0578,Which measure is most affected by extreme values in a dataset?,Median,Mode,Mean,Range,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0580,What is the output of print(type(10))?,float,int,str,bool,B,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0583,Which data structure stores key-value pairs in Python?,List,Tuple,Dictionary,Set,C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0585,Which keyword is used to define a function in Python?,func,function,define,def,D,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0587,Which loop is used when the number of iterations is known?,while,repeat,for,loop,C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0588,Which Python collection does not allow duplicate values?,List,Tuple,Dictionary,Set,D,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0590,Which Excel function adds a range of values?,COUNT,SUM,AVERAGE,MAX,B,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0591,What does cell reference A1 represent?,Column A Row 1,Row A Column 1,Worksheet 1,Workbook A,A,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0592,Which Excel function calculates the average of numbers?,SUM,COUNT,AVERAGE,MIN,C,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0593,What is the purpose of filtering in Excel?,Delete rows,Sort data,Show selected records,Create charts,C,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0594,Which symbol is used to create an absolute cell reference?,#,*,#ERROR!,$,D,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0595,Which Excel feature summarizes large datasets quickly?,Conditional Formatting,Pivot Table,Freeze Panes,Data Validation,B,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0600,Which Excel function returns the largest value in a range?,MIN,MAX,COUNT,SUM,B,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0601,What does VLOOKUP primarily do in Excel?,Create chart,Lookup values vertically,Filter rows,Sort columns,B,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0602,What is the variance of a dataset used to measure?,Central tendency,Data spread,Frequency,Percentage,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0603,Which Python statement is used to handle exceptions?,if,try,while,for,B,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0604,Which Excel function counts numeric cells in a range?,SUM,AVERAGE,COUNT,MAX,C,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0605,Which of the following best describes an 'event' in probability?,A mathematical formula,Any outcome from the sample space,A subset of the sample space,The probability value,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0607,The range of a dataset is defined as:,Max - Min,Mean - Median,Max / Min,Sum of all values,A,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0608,Which statistical term describes the middle 50% of data?,Variance,Interquartile Range,Standard Deviation,Mean,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0609,A percentile measures:,The mean of the dataset,The value below which a given percentage of observations fall,The standard deviation,The mode,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0610,The 25th percentile is also called:,Q2,Q3,Q1,Median,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0611,Which of the following is a measure of dispersion?,Mode,Mean,Variance,Median,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0612,What does 'mutually exclusive' mean in probability?,Events that must both occur,Events that cannot occur simultaneously,Events that always occur together,Events with equal probability,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0614,Which formula computes the probability of event A given B using Bayes' theorem?,P(A) × P(B),P(A ∩ B) / P(A),P(B|A) × P(A) / P(B),P(A) + P(B),C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0617,Which Python method returns all items of a dictionary as a list of tuples?,keys(),values(),items(),pairs(),C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0618,What is the output of: 'abc' * 3?,abc,abcabc,abcabcabc,Error,C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0619,Which exception is raised when using an undefined variable?,ValueError,TypeError,NameError,AttributeError,C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0621,What does `__init__` do in a Python class?,Destroys the object,Initializes the object when instantiated,Calls a parent class,Returns a value,B,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0622,Which built-in function returns the sum of an iterable?,total(),add(),sum(),plus(),C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0623,"What is the output of: list(zip([1,2],[3,4]))?","[(1,3),(2,4)]","[1,2,3,4]","[[1,3],[2,4]]","(1,2,3,4)",A,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0624,Which loop iterates over key-value pairs in a dict?,for k in d:,"for k,v in d.items():",for v in d.values():,for item in d:,B,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0625,Which Excel function returns the current date?,NOW(),TODAY(),DATE(),CURRENTDATE(),B,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0626,Which Excel function returns both current date and time?,TODAY(),DATE(),NOW(),TIMESTAMP(),C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0627,Which formula returns the number of characters in a cell?,COUNT(),LEN(),CHARS(),SIZE(),B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0628,What does the PROPER() function do in Excel?,Capitalizes only the first letter of text,Converts text to uppercase,Converts first letter of each word to uppercase,Removes spaces,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0631,What does #DIV/0! error in Excel mean?,Formula references wrong range,Cell contains text instead of number,A number is being divided by zero,Lookup failed,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0632,Which function in Excel converts text to a number?,TEXTVAL(),VALUE(),NUM(),TONUM(),B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0633,What does CONCATENATE() do in Excel?,Adds numbers,Joins text strings,Counts text cells,Splits text,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0634,What does the CHOOSE function do in Excel?,Selects a range,Returns a value from a list based on an index,Sorts choices,Filters a range,B,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0664,Which Excel function rounds a number down to the nearest integer?,ROUND(),CEILING(),FLOOR(),INT(),D,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0665,"What does =COUNTIF(A1:A10, 'Apple') count?",Cells with value Apple,All non-empty cells,Cells with number equal to Apple,Sum of cells named Apple,A,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0666,Which of these best defines skewness?,Measure of average,Measure of spread,Measure of asymmetry in distribution,Measure of central tendency,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0667,A positive skew means the distribution has:,A longer tail on the left,A longer tail on the right,No tail,Equal tails,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0668,Q3 - Q1 is called:,Variance,Range,Interquartile Range,Mean Deviation,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0669,Which probability describes the probability of event A given B?,Marginal probability,Joint probability,Conditional probability,Classical probability,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0670,Which measure compares variability of two datasets with different units?,Standard Deviation,Variance,Coefficient of Variation,Range,C,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0671,What is a Python decorator?,A comment,A class method,A function that wraps another function,A type annotation,C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0672,Which module provides the Counter class in Python?,itertools,functools,collections,statistics,C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0673,What does `assert x > 0` do?,Prints x,Raises AssertionError if x <= 0,Returns True/False,Deletes x,B,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0674,"What is the output of: sorted({'b':2, 'a':1, 'c':3})?","['b','a','c']","['a','b','c']","{a:1,b:2,c:3}","[1,2,3]",B,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0675,What does the walrus operator (:=) do in Python?,Assigns and uses a value in the same expression,Compares two values,Divides values,Creates a dictionary,A,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0676,What does the Excel formula =PROPER('data analytics') return?,DATA ANALYTICS,data analytics,Data Analytics,Data analytics,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0677,Which Excel function finds the position of a substring within a text string?,POSITION(),SEARCH(),LOCATE(),FIND(),D,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0679,Which Excel function calculates the average of values?,SUM,COUNT,AVERAGE,MAX,C,Data Analyst,Excel,Foundational (L01-L10),Foundational
DA_0680,Which measure of central tendency is least affected by outliers?,Mean,Median,Variance,Standard Deviation,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0687,Which Python data type is mutable?,Tuple,String,List,Integer,C,Data Analyst,Python Fundamentals,Foundational (L01-L10),Foundational
DA_0689,What does VLOOKUP do?,Creates charts,Looks up values vertically,Sorts data,Filters rows,B,Data Analyst,Excel Fundamentals,Foundational (L01-L10),Foundational
DA_0690,What does standard deviation measure?,Central tendency,Spread of data,Probability,Frequency,B,Data Analyst,Mathematical & Statistical Foundations,Foundational (L01-L10),Foundational
DA_0801,What does NumPy stand for?,Numerical Python,Numeric Processor,New Python,Number Utility,A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0802,Which NumPy function creates a 1D array from a Python list?,np.matrix(),np.array(),np.list(),np.vector(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0803,What is the data type of elements in a NumPy array called?,dtype,kind,type,format,A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0804,Which attribute returns the number of dimensions of a NumPy array?,np.size,np.shape,np.ndim,np.dim,C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0805,"What does np.zeros((3,3)) create?",A 3x3 array of ones,A 3x3 identity matrix,A 3x3 array of zeros,A 3x3 random array,C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0806,Which function creates a NumPy array of evenly spaced values over a specified interval?,np.arange(),np.linspace(),np.space(),np.range(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0807,"What is the output of np.array([1,2,3]).shape?","(1,3)","(3,)","(3,1)","(1,)",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0808,Which NumPy attribute returns the total number of elements in an array?,np.ndim,np.shape,np.length,np.size,D,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0809,"What does np.ones((2,4)) produce?",A 2x4 array of zeros,A 2x4 array of ones,A 4x2 identity matrix,A 2x4 array of random numbers,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0810,"Which of the following correctly creates a NumPy array with values [0,1,2,3,4]?",np.array(range(5)),np.zeros(5),np.ones(5),"np.linspace(0,4,4)",A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0811,What does np.eye(4) create?,A 4x4 array of ones,A 4x4 identity matrix,A 4x4 zero matrix,A 4-element array,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0812,Which function generates random integers in NumPy?,np.random.rand(),np.random.randn(),np.random.randint(),np.random.choice(),C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0813,"What does np.arange(2, 10, 2) return?","[2,4,6,8,10]","[2,4,6,8]","[2,3,4,5,6,7,8,9]","[0,2,4,6,8]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0814,Which function creates an uninitialized NumPy array?,np.zeros(),np.empty(),np.void(),np.blank(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0815,"What does np.full((2,2), 7) create?",A 2x2 array of 7s,A 2x2 array of 0s,A 2x2 array of 1s,A 7x7 zero array,A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0816,Which parameter in np.linspace() specifies the number of points?,step,num,count,size,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0817,"What is the default dtype when creating np.array([1.0, 2.0, 3.0])?",int32,float64,complex128,object,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0818,How do you create a NumPy array from a Python range object?,np.from_range(range(5)),np.array(range(5)),np.convert(range(5)),np.make(range(5)),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0819,"What does np.diag([1,2,3]) produce?","A 1D array [1,2,3]",A 3x3 diagonal matrix,A 3x3 zero matrix,A 3-element identity array,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0820,Which method creates a copy of a NumPy array?,np.clone(),array.copy(),np.duplicate(),array.clone(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0823,"For a 2D array A, what does A[1, 2] access?","Row 2, Column 1","Row 1, Column 2","Row 2, Column 3","Row 3, Column 2",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0824,"What does arr[1:4] return for arr = np.array([10,20,30,40,50])?","[10,20,30]","[20,30,40]","[20,30,40,50]","[10,20,30,40]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0825,"What does arr[::2] do to arr = np.array([0,1,2,3,4,5])?",Returns every element,"Returns [0,2,4]","Returns [1,3,5]","Returns [0,1,2]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0826,"For a 2D array A of shape (3,4), what does A[:, 2] return?",The third row,The second row,The third column,The second column,C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0828,"For arr = np.array([5,10,15,20]), what does arr[arr > 10] return?","[5,10]","[15,20]","[10,15,20]","[5,10,15]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0829,What does arr[::-1] do to a NumPy array?,Doubles all elements,Reverses the array,Sorts descending,Removes last element,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0831,"What does np.sqrt(np.array([4,9,16])) return?","[1,2,3]","[2,3,4]","[4,9,16]","[8,18,32]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0832,Which NumPy function computes the element-wise exponential?,np.pow(),np.exp(),np.log(),np.e(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0833,"What is the result of np.add(np.array([1,2,3]), np.array([4,5,6]))?","[5,7,9]","[4,10,18]","[1,4,9]","[5,6,7]",A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0835,Which function computes the natural logarithm element-wise?,np.log2(),np.log10(),np.log(),np.ln(),C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0836,"What does np.abs(np.array([-3, -1, 2])) return?","[-3,-1,2]","[3,1,2]","[3,1,-2]","[9,1,4]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0837,"What is the output of np.power(np.array([2,3,4]), 2)?","[2,3,4]","[4,6,8]","[4,9,16]","[8,27,64]",C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0838,Which operation is element-wise multiplication in NumPy?,np.dot(),np.multiply(),np.cross(),np.matmul(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0839,"What does np.mod(np.array([10,11,12]), 3) return?","[0,1,2]","[1,2,0]","[3,3,4]","[0,2,1]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0840,"What does np.floor(np.array([1.7, 2.3, 3.9])) return?","[2,3,4]","[1,2,3]","[1.7,2.3,3.9]","[2,2,4]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0841,"What does arr.reshape(2,3) do to a 1D array of 6 elements?",Creates a 3x2 matrix,Creates a 2x3 matrix,Flattens the array,Transposes the array,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0842,Which function flattens a multidimensional array to 1D?,np.flatten(),arr.ravel(),Both A and B,np.squeeze(),C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0843,What does arr.T do to a 2D NumPy array?,Sorts the array,Transposes the array,Flattens it,Reshapes it to 1D,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0844,"What does np.expand_dims(arr, axis=0) do?",Removes a dimension,Adds a new axis at position 0,Transposes the array,Flattens the array,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0845,Which function stacks arrays vertically?,np.hstack(),np.vstack(),np.dstack(),np.stack(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0846,"What does np.concatenate([a, b], axis=1) do?",Joins arrays along rows,Joins arrays along columns,Multiplies arrays,Subtracts arrays,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0847,"What is the result of np.array([1,2,3,4,5,6]).reshape(3,2)?","[[1,2,3],[4,5,6]]","[[1,2],[3,4],[5,6]]","[[1,4],[2,5],[3,6]]",Error,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0848,Which function splits a NumPy array into sub-arrays?,np.break(),np.split(),np.divide(),np.chunk(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0849,What does np.squeeze() do?,Adds a new axis,Removes single-dimensional entries from shape,Flattens to 1D,Transposes,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0850,What does np.newaxis do in NumPy?,Creates a new array,Adds a new dimension,Removes a dimension,Resets index,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0852,"Can you add a (3,1) array to a (3,3) array using broadcasting?","No, shapes must match exactly","Yes, the (3,1) expands to (3,3)",Only if both are float,Only with np.broadcast(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0853,"What is the result shape when broadcasting (1,3) with (3,1)?","(1,1)","(3,3)",Error,"(3,)",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0854,Which condition must shapes satisfy for broadcasting?,Must be identical,Trailing dimensions must be equal or one of them is 1,Must have same number of rows,Must be square,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0855,What happens when you add a scalar to a NumPy array?,Error,Only first element is added,Scalar is broadcast to all elements,Nothing happens,C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0856,"Can arrays of shapes (4,) and (4,1) be broadcast?",No,"Yes, result shape is (4,4)","Yes, result shape is (4,)",Only for subtraction,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0857,"What is the output shape of np.ones((2,3)) + np.ones((3,))?","(2,3)","(3,3)",Error,"(2,)",A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0858,Which of the following is NOT a valid broadcasting rule?,Arrays with size 1 expand to match the other,Arrays with same size are compatible,Arrays must have same dtype,Shapes are compared from trailing dimensions,C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0859,What happens when broadcasting fails due to incompatible shapes?,Returns None,Raises a ValueError,Returns zeros array,Returns NaN array,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0860,"What is the output of np.array([1,2,3]) + 10?","[1,2,3]","[10,20,30]","[11,12,13]",Error,C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0861,Which function computes the sum of all elements in a NumPy array?,np.total(),np.sum(),np.add(),np.aggregate(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0863,How do you compute the column-wise sum in a 2D array?,"np.sum(arr, axis=0)","np.sum(arr, axis=1)",np.sum(arr),np.colsum(arr),A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0864,What does np.min(arr) return?,Index of minimum,Maximum value,Minimum value,Mean value,C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0865,Which function returns the index of the maximum value in a NumPy array?,np.max(),np.argmax(),np.idxmax(),np.maxindex(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0866,"What does np.cumsum(np.array([1,2,3,4])) return?","[1,2,3,4]","[1,3,6,10]","[10,9,7,4]","[2,4,6,8]",B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0867,Which function computes the standard deviation of a NumPy array?,np.var(),np.std(),np.deviation(),np.sd(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0869,How do you get the maximum value of each row in a 2D array?,"np.max(arr, axis=0)","np.max(arr, axis=1)",np.rowmax(arr),np.max(arr),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0871,"Which function generates random floats in [0.0, 1.0)?",np.random.randn(),np.random.rand(),np.random.uniform(),np.random.sample(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0872,What does np.random.seed(42) do?,Generates 42 random numbers,Sets reproducibility of random numbers,Resets the array,Shuffles the array,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0873,Which function samples from a standard normal distribution?,np.random.rand(),np.random.randint(),np.random.randn(),np.random.uniform(),C,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0874,"What does np.random.choice([1,2,3,4,5], size=3) do?",Sorts 3 elements,Randomly picks 3 elements,Repeats first 3 elements,Returns last 3 elements,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0875,Which NumPy function shuffles an array in-place?,np.random.shuffle(),np.random.permutation(),np.sort(),np.random.choice(),A,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0876,"What does np.random.uniform(low=0, high=10, size=5) generate?",5 integers from 0 to 10,5 floats from 0 to 10,5 booleans,5 zeros,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0877,Which function returns a random permutation of an array without modifying the original?,np.random.shuffle(),np.random.permutation(),np.random.choice(),np.random.sample(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0878,"What does np.random.binomial(n=10, p=0.5, size=3) simulate?",Normal distribution samples,3 binomial experiment outcomes,3 random integers 0-10,3 uniform floats,B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0879,Which NumPy function computes the matrix inverse?,np.linalg.det(),np.linalg.inv(),np.linalg.norm(),np.linalg.eig(),B,Data Analyst,NumPy,Easy (L11-L25),Easy
DA_0880,What does np.linalg.det() compute?,Eigenvalues,Matrix inverse,Matrix determinant,Matrix rank,C,Data Analyst,NumPy,Easy (L11-L25),Easy
